CompanyName	Company_Identifier	What_to_capture	FiscalYear	IR_URL	Capture_attempt_date	AgentId	CaptureStatus	CaptureStatusDetails	milestone1_Establish_Connection	milestone2_Find_object_to_capture	milestone3_download_object	Milestone4_object_passed_validation	Report_URL	Source_Page	Pages	Size_MB	Probability_Annual_Report	Document_Type	Classification_Reasoning	User_Agent_Used	Validation_Status	Validation_Confidence	Validation_Issues	Validation_Date	Priority	Failure_Reason
ABB Ltd	S1	Annual report	2019	https://global.abb/group/en/investors	2025-12-22	A1	Downloaded	Successfully validated: 242 pages, 100.0% confidence	Pass	Failed	Not Attempted	Pass		https://global.abb/group/en/investors			0.00%	Not Found	No report found for this year	Rotated (5 variants)	Valid	100.0%		2025-12-22 00:46:39	Complete ✓	
ABB Ltd	S1	Annual report	2020	https://global.abb/group/en/investors	2025-12-22	A1	Downloaded	Successfully validated: 252 pages, 100.0% confidence	Pass	Failed	Not Attempted	Pass		https://global.abb/group/en/investors			0.00%	Not Found	No report found for this year	Rotated (5 variants)	Valid	100.0%		2025-12-22 00:46:40	Complete ✓	
ABB Ltd	S1	Annual report	2021	https://global.abb/group/en/investors	2025-12-22	A1	Downloaded	Successfully validated: 272 pages, 100.0% confidence	Pass	Failed	Not Attempted	Pass		https://global.abb/group/en/investors			0.00%	Not Found	No report found for this year	Rotated (5 variants)	Valid	100.0%		2025-12-22 00:46:39	Complete ✓	
ABB Ltd	S1	Annual report	2022	https://global.abb/group/en/investors	2025-12-22	A1	Downloaded	Successfully validated: 210 pages, 100.0% confidence	Pass	Failed	Not Attempted	Pass		https://global.abb/group/en/investors			0.00%	Not Found	No report found for this year	Rotated (5 variants)	Valid	100.0%		2025-12-22 00:46:40	Complete ✓	
ABB Ltd	S1	Annual report	2023	https://global.abb/group/en/investors	2025-12-22	A1	Downloaded	Successfully validated: 112 pages, 76.5% confidence	Pass	Pass	Skipped	Pass	Already downloaded	https://global.abb/group/en/investors				Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	76.5%		2025-12-22 00:46:40	Complete ✓	
ABB Ltd	S1	Annual report	2024	https://global.abb/group/en/investors	2025-12-22	A1	Downloaded	Successfully validated: 149 pages, 86.4% confidence	Pass	Failed	Not Attempted	Pass		https://global.abb/group/en/investors			0.00%	Not Found	No report found for this year	Rotated (5 variants)	Valid	86.4%		2025-12-22 00:46:40	Complete ✓	
Atlas Copco A	S6	Annual report	2019	https://www.atlascopcogroup.com/en/investors	2025-12-22	A1	Validated	already_exists	Pass	Pass	Skipped	Skipped	https://mb.cision.com/Main/90/3053634/1206606.pdf	https://mfn.se/cis/a/atlas-copco/atlas-copco-publishes-its-annual-report-for-2019-a927bb50	150.0	6.94		Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	86.7%		2026-01-17 15:57:06	Complete ✓	No report URL found for 2019 (found 0 reports for other years)
Atlas Copco A	S6	Annual report	2020	https://www.atlascopcogroup.com/en/investors	2025-12-22	A1	Downloaded	Successfully validated: 169 pages, 91.7% confidence	Pass	Pass	Skipped	Pass	Already downloaded	https://www.atlascopcogroup.com/en/investors				Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	91.7%		2025-12-22 00:46:40	Complete ✓	
Atlas Copco A	S6	Annual report	2021	https://www.atlascopcogroup.com/en/investors	2025-12-22	A1	Validated	already_exists	Pass	Pass	Skipped	Skipped	https://mb.cision.com/Main/90/3528089/1551058.pdf	https://mfn.se/cis/a/atlas-copco/atlas-copco-publishes-its-annual-report-for-2021-79007ed0	148.0	15.25		Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	86.1%		2026-01-17 15:57:08	Complete ✓	No report URL found for 2021 (found 0 reports for other years)
Atlas Copco A	S6	Annual report	2022	https://www.atlascopcogroup.com/en/investors	2025-12-22	A1	Validated	already_exists	Pass	Pass	Skipped	Skipped	https://mb.cision.com/Main/90/3737556/1929260.pdf	https://mfn.se/cis/a/atlas-copco/atlas-copco-publishes-its-annual-report-for-2022-316ad216	152.0	9.37		Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	87.2%		2026-01-17 15:57:07	Complete ✓	No report URL found for 2022 (found 0 reports for other years)
Atlas Copco A	S6	Annual report	2023	https://www.atlascopcogroup.com/en/investors	2025-12-22	A1	Validated	already_exists	Pass	Pass	Skipped	Skipped	https://mb.cision.com/Main/90/3949255/2683994.pdf	https://mfn.se/cis/a/atlas-copco/atlas-copco-group-publishes-annual-report-for-2023-f9bcc8e8	154.0	10.20		Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	87.7%		2026-01-17 15:57:08	Complete ✓	No report URL found for 2023 (found 0 reports for other years)
Atlas Copco A	S6	Annual report	2024	https://www.atlascopcogroup.com/en/investors	2025-12-22	A1	Downloaded	Successfully validated: 169 pages, 91.7% confidence	Pass	Pass	Failed	Pass	https://www.atlascopcogroup.com/content/dam/atlas-copco/group/documents/investors/financial-publications/english/atla-2024-12-31-0-en.xhtml.coredownload.inline.xhtml	https://www.atlascopcogroup.com/en/investors			0.00%	Failed	URL is not a PDF and no PDF found on HTML page	Rotated (5 variants)	Valid	91.7%		2025-12-22 00:46:40	Complete ✓	
Boliden	S7	Annual report	2019	https://investors.boliden.com/	2025-12-22	A1		already_exists	Pass	Pass	Skipped	Skipped			0.0	0.0		Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)		0.0			Not Downloaded	No report URL found for 2019 (found 0 reports for other years)
Boliden	S7	Annual report	2020	https://investors.boliden.com/	2025-12-22	A1		already_exists	Pass	Pass	Skipped	Skipped			0.0	0.0		Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)		0.0			Not Downloaded	No report URL found for 2020 (found 0 reports for other years)
Boliden	S7	Annual report	2021	https://investors.boliden.com/	2025-12-22	A1		already_exists	Pass	Pass	Skipped	Skipped			0.0	0.0		Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)		0.0			Not Downloaded	No report URL found for 2021 (found 0 reports for other years)
Boliden	S7	Annual report	2022	https://investors.boliden.com/	2025-12-22	A1		already_exists	Pass	Pass	Skipped	Skipped			0.0	0.0		Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)		0.0			Not Downloaded	No report URL found for 2022 (found 0 reports for other years)
Boliden	S7	Annual report	2023	https://investors.boliden.com/	2025-12-22	A1	Validated	already_exists	Pass	Pass	Skipped	Skipped	https://mb.cision.com/Main/997/3940837/2649391.pdf	https://mfn.se/cis/a/boliden/boliden-publishes-annual-and-sustainability-report-2023-c08abf95	144.0	8.65		Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	85.1%		2026-01-17 15:57:08	Complete ✓	No report URL found for 2023 (found 0 reports for other years)
Boliden	S7	Annual report	2024	https://investors.boliden.com/	2025-12-22	A1	Validated	already_exists	Pass	Pass	Skipped	Skipped	https://mb.cision.com/Main/997/4121044/3330967.pdf	https://mfn.se/cis/a/boliden/boliden-publishes-annual-and-sustainability-report-2024-b8884bf4	192.0	20.93		Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	97.9%		2026-01-17 15:57:10	Complete ✓	No report URL found for 2024 (found 0 reports for other years)
