CompanyName	ISIN	CID	date refreshed	Nasdaq_url	Active_coverage?	investor_relations_url	CCY	MostRecentStockPrice	TradedStockVolume	StockTurnover
ABB Ltd		S1		https://www.nasdaq.com/european-market-activity/shares/abb?id=TX291	True		SEK	683.0	453736	308982606
Addtech B		S2			True	https://www.addtech.com/investors-and-media	SEK	325.6	350644	114134399
Alfa Laval		S3			True	https://www.alfalaval.com/media/news/investors/2020/alfa-laval-appoints-new-investor-relation-manager/	SEK	460.6	834570	384199339
ASSA ABLOY B		S4			True		SEK	355.8	1924559	685032972
AstraZeneca		S5			True		SEK	1701.0	283942	480673375
Atlas Copco A		S6			True	https://www.atlascopco.com/en-in/atlas-copco-in-india/investor-relations	SEK	164.05	5327339	873528240
Boliden		S7			True	https://en.wikipedia.org/wiki/Boliden_AB	SEK	498.2	1621368	806020703
Epiroc A		S8			True	https://www.epiroc.cn/en-cn/products/loaders-and-trucks/diesel-trucks	SEK	206.7	2926875	605520732
EQT		S9			True	https://www.eqt.com/	SEK	351.8	6554439	2300568085
Ericsson B		S10			True		SEK	90.42	8433509	762114500
Essity B		S11			True	https://www.essity.com/investors/calendar/	SEK	265.1	1857487	492519760
Evolution		S12			True	https://www.evolution.com/investors/	SEK	624.8	1266337	790983032
Hennes & Mauritz B		S13			True		SEK	183.9	4538822	836489758
Hexagon B		S14			True		SEK	107.0	4964511	531028156
Industrivärden C		S15			True		SEK	408.2	424135	173042714
Investor B		S16			True		SEK	323.1	4327625	1395810389
Lifco B		S17			True	https://www.lifco.se/	SEK	351.8	429040	150895807
NIBE Industrier B		S18			True	https://www.nibe.com/governance/nibe-board-of-directors	SEK	34.99	6297781	220747092
Nordea Bank Abp		S19			True	https://www.nordea.com/en/investors	SEK	171.85	5078865	873474999
SAAB B		S20			True	https://www.saab.com/investors	SEK	508.7	2028470	1027868849
Sandvik		S21			True		SEK	295.7	3213548	949483303
SCA B		S22			True	https://www.sca.com/en/investors/	SEK	120.85	1852731	224037825
SEB A		S23			True	https://www.seb.lt/en/business/savings-and-investments/stocks	SEK	192.75	4099697	790115703
Skanska B		S24			True		SEK	250.0	1037568	259368643
SKF B		S25			True	https://www.skf.com/group/investors/	SEK	241.9	1347701	325801125
Sv. Handelsbanken A		S26			True	https://www.handelsbanken.com/en/investor-relations	SEK	132.55	6583809	871875783
Swedbank A		S27			True	https://www.swedbank.com/investor-relations.html	SEK	315.7	2936891	926118768
Tele2 B		S28			True	https://www.tele2.com/media/news/2025/tele2-reports-third-quarter-2025-results-including-strong-equity-free-cash-flow/	SEK	153.1	2288603	350402942
Telia Company		S29			True		SEK	38.6	8164111	315247592
Volvo B		S30			True		SEK	294.2	4335808	1276278853
