CompanyName	ISIN	CID	date refreshed	Nasdaq_url	Active_coverage?	investor_relations_url	CCY	MostRecentStockPrice	TradedStockVolume	StockTurnover
ABB Ltd		S1		https://www.nasdaq.com/european-market-activity/shares/abb?id=TX291	True	https://global.abb/group/en/investors	SEK	683.0	453736	308982606
Addtech B		S2			True		SEK	325.6	350644	114134399
Alfa Laval		S3			True		SEK	460.6	834570	384199339
ASSA ABLOY B		S4			True		SEK	355.8	1924559	685032972
AstraZeneca		S5			True		SEK	1701.0	283942	480673375
Atlas Copco A		S6			True		SEK	164.05	5327339	873528240
Boliden		S7			True		SEK	498.2	1621368	806020703
Epiroc A		S8			True		SEK	206.7	2926875	605520732
EQT		S9			True		SEK	351.8	6554439	2300568085
Ericsson B		S10			True		SEK	90.42	8433509	762114500
Essity B		S11			True		SEK	265.1	1857487	492519760
Evolution		S12			True		SEK	624.8	1266337	790983032
Hennes & Mauritz B		S13			True		SEK	183.9	4538822	836489758
Hexagon B		S14			True		SEK	107.0	4964511	531028156
Industrivärden C		S15			True		SEK	408.2	424135	173042714
Investor B		S16			True		SEK	323.1	4327625	1395810389
Lifco B		S17			True		SEK	351.8	429040	150895807
NIBE Industrier B		S18			True		SEK	34.99	6297781	220747092
Nordea Bank Abp		S19			True		SEK	171.85	5078865	873474999
SAAB B		S20			True		SEK	508.7	2028470	1027868849
Sandvik		S21			True		SEK	295.7	3213548	949483303
SCA B		S22			True		SEK	120.85	1852731	224037825
SEB A		S23			True		SEK	192.75	4099697	790115703
Skanska B		S24			True		SEK	250.0	1037568	259368643
SKF B		S25			True		SEK	241.9	1347701	325801125
Sv. Handelsbanken A		S26			True		SEK	132.55	6583809	871875783
Swedbank A		S27			True		SEK	315.7	2936891	926118768
Tele2 B		S28			True		SEK	153.1	2288603	350402942
Telia Company		S29			True		SEK	38.6	8164111	315247592
Volvo B		S30			True		SEK	294.2	4335808	1276278853
