AAK	SEK	258.40	+1.20	+0.46%	258.80	259.20	376,353	97,145,911	18:00:00
ABB Ltd	SEK	709.80	+1.60	+0.22%	710.20	710.40	485,967	344,276,679	18:00:00
AcadeMedia	SEK	94.50	-1.20	-1.25%	94.20	94.40	174,418	16,511,663	18:00:00
Acast	SEK	32.55	+0.40	+1.24%	32.40	32.90	249,704	8,092,563	18:00:00
Acrinova A	SEK	10.25	+0.05	+0.49%			25,100	257,288	18:00:00
Acrinova B	SEK	10.00	-0.10	-0.99%	10.00	10.15	16,989	170,774	18:00:00
Actic Group	SEK	29.80	-1.90	-5.99%	29.80	30.10	75,655	2,293,495	18:00:00
Active Biotech	SEK	0.0435	-0.0005	-1.13%	0.0433	0.0435	7,056,103	310,328	18:00:00
AddLife B	SEK	152.10	-1.10	-0.71%	152.00	152.50	114,921	17,499,860	18:00:00
Addnode Group B	SEK	92.20	-1.30	-1.39%	91.70	92.50	106,430	9,740,235	18:00:00
Addtech B	SEK	315.40	-1.80	-0.56%	315.20	315.40	383,765	120,989,665	18:00:00
AFRY	SEK	152.20	-1.10	-0.71%	152.10	152.30	315,151	47,895,282	18:00:00
Alfa Laval	SEK	507.40	-1.20	-0.23%	507.60	507.80	636,833	322,995,324	18:00:00
Alimak Group	SEK	147.60	-1.20	-0.80%	147.20	148.20	79,893	11,855,623	18:00:00
Alleima	SEK	84.75	-0.60	-0.70%	85.15	85.35	271,415	23,090,053	18:00:00
Alligator Bioscience	SEK	0.1938	+0.0041	+2.16%	0.1902	0.1937	8,081,561	1,541,769	18:00:00
Alligo B	SEK	139.60	0.00	0.00%	139.20	139.80	7,635	1,067,736	18:00:00
Alvotech SDB	SEK	44.30	-0.70	-1.55%	44.29	44.90	10,592	468,834	18:00:00
Ambea	SEK	134.20	+2.50	+1.89%	134.10	134.40	870,603	116,835,568	18:00:00
Annehem Fastigheter B	SEK	16.90	0.00	0.00%	16.88	16.98	8,761	148,007	18:00:00
Anoto Group	SEK	0.0474	+0.003	+6.75%	0.045	0.047	205,200	9,345	18:00:00
Apotea	SEK	87.06	-1.11	-1.25%	87.00	87.06	153,653	13,378,359	18:00:00
AQ Group	SEK	189.10	-0.20	-0.10%	189.10	189.90	45,673	8,622,599	18:00:00
Arctic Paper	SEK	23.50	+0.20	+0.85%	23.50	23.65	15,247	357,827	18:00:00
Arion Banki SDB	SEK	15.10	0.00	0.00%	14.85	15.10	83,107	1,257,239	18:00:00
Arjo B	SEK	31.42	+0.32	+1.02%	31.44	31.50	449,234	14,064,849	18:00:00
Arla Plast	SEK	49.90	-0.10	-0.20%	49.90	50.40	13,896	695,772	18:00:00
Ascelia Pharma	SEK	3.155	-0.07	-2.17%	3.155	3.195	389,203	1,229,301	18:00:00
Asker Healthcare Group	SEK	78.71	-1.39	-1.73%	78.84	78.94	300,704	23,874,728	18:00:00
Asmodee Group B	SEK	104.44	-2.60	-2.42%	104.30	104.50	453,739	47,568,944	18:00:00
ASSA ABLOY B	SEK	374.80	+5.40	+1.46%	375.60	375.70	1,770,875	663,169,774	18:00:00
AstraZeneca	SEK	1,738.00	+5.00	+0.28%	1,737.00	1,737.50	344,663	599,597,096	18:00:00
Atlas Copco A	SEK	191.10	+3.10	+1.64%	191.05	191.15	9,752,324	1,857,267,949	18:00:00
Atlas Copco B	SEK	166.90	+2.70	+1.64%	167.00	167.05	2,371,685	394,567,362	18:00:00
Atrium Ljungberg B	SEK	35.00	-0.21	-0.59%	34.90	35.075	258,164	9,029,804	18:00:00
Attendo	SEK	84.00	+1.60	+1.94%	83.90	84.40	389,264	32,715,175	18:00:00
Autoliv SDB	SEK	1,189.00	+5.00	+0.42%	1,187.00	1,188.00	58,168	69,429,973	18:00:00
Avanza Bank Holding	SEK	341.30	-0.40	-0.11%	341.90	342.50	274,022	93,532,586	18:00:00
Axfood	SEK	307.50	+4.50	+1.48%	306.90	307.00	290,110	88,791,616	18:00:00
B3 Consulting Group	SEK	42.20	-1.15	-2.65%	42.30	42.95	4,748	200,497	18:00:00
Bactiguard Holding B	SEK	17.00	+0.35	+2.10%	17.05	17.50	6,417	110,119	18:00:00
Balco Group	SEK	16.90	+0.25	+1.50%	16.75	16.90	4,217	70,605	18:00:00
BE Group	SEK	27.35	+0.30	+1.10%	27.00	27.40	33,633	917,583	18:00:00
Beijer Alma B	SEK	288.00	+1.00	+0.34%	287.00	289.00	38,867	11,178,883	18:00:00
Beijer Ref B	SEK	144.25	-1.85	-1.26%	143.80	143.95	1,060,588	152,584,303	18:00:00
Bergman & Beving B	SEK	310.00	+2.50	+0.81%	308.50	309.50	32,153	9,918,526	18:00:00
Berner Industrier B	SEK	97.80	-2.20	-2.20%	97.20	98.00	27,187	2,686,058	18:00:00
Besqab	SEK	26.50	0.00	0.00%	26.50	26.70	9,119	241,882	18:00:00
Betsson B	SEK	106.40	-28.50	-21.12%	106.60	106.80	8,085,042	898,713,691	18:00:00
Better Collective	SEK	112.80	-1.40	-1.22%	112.40	112.80	35,510	4,009,563	18:00:00
BHG Group	SEK	32.44	+0.20	+0.62%	32.46	32.68	185,008	6,008,718	18:00:00
BICO Group	SEK	19.30	+0.74	+3.98%	18.81	18.92	271,804	5,171,116	18:00:00
Bilia A	SEK	130.30	-1.70	-1.28%	130.40	130.60	54,188	7,055,622	18:00:00
Billerud	SEK	94.00	-0.60	-0.63%	94.00	94.20	267,149	25,114,388	18:00:00
BioArctic B	SEK	329.00	+6.00	+1.85%	329.00	329.60	188,606	61,646,990	18:00:00
BioGaia B	SEK	111.90	-0.70	-0.62%	112.20	112.40	161,217	18,102,420	18:00:00
BioInvent International	SEK	29.20	-0.75	-2.50%	29.15	29.35	106,312	3,117,321	18:00:00
Björn Borg	SEK	59.90	-0.10	-0.16%	59.40	60.00	14,726	879,105	18:00:00
Boliden	SEK	572.20	-23.20	-3.89%	569.80	570.00	2,159,191	1,239,849,556	18:00:00
Bonava A	SEK	11.40	+0.40	+3.63%			4,555	50,793	18:00:00
Bonava B	SEK	11.50	+0.30	+2.67%	11.42	11.50	7,232,902	81,051,833	18:00:00
BONESUPPORT HOLDING	SEK	211.00	-11.80	-5.29%	211.00	211.60	468,797	100,548,916	18:00:00
Bong	SEK	0.65	+0.01	+1.56%	0.632	0.658	9,866	6,369	18:00:00
Boozt	SEK	101.00	-2.40	-2.32%	101.10	101.20	152,232	15,351,859	18:00:00
Boule Diagnostics	SEK	5.44	+0.14	+2.64%	5.30	5.44	4,094	22,004	18:00:00
Bravida Holding	SEK	90.25	-0.20	-0.22%	90.40	90.50	424,116	38,361,348	18:00:00
